class_name,class_original_classification,classification_final_list
Médico,role,can
Pessoa,kind,is
Pessoa_Morta,phase,is
Pessoa_Possivelmente_com_COVID-19_segundo_ECDC,role,is
Pessoa_Provavelmente_com_COVID-19_segundo_ECDC,role,is
Pessoa_Viva,phase,can
Pessoa_com_COVID-19,phase,can
Pessoa_com_COVID-19_Assintomática,phase,can
Pessoa_com_COVID-19_Confirmada_segundo_ECDC,role,can
Pessoa_com_COVID-19_Confirmada_segundo_OMS,role,is
Pessoa_com_COVID-19_Sintomática,phase,can
Pessoa_com_Provável_COVID-19_segundo_OMS,role,is
Pessoa_com_Suspeita_de_COVID_segundo_OMS,role,can
Profissional_da_Saúde,role,can
